name,affiliation,position,district,party,twitterHandle,website,email
石原 宏高,自民,衆議院議員,東京3,,https://x.com/ishiharahirotak,https://www.ishihara-hirotaka.com/profile/,
泉 健太,立憲,衆議院議員,京都3,,https://x.com/izmkenta,https://izumi-kenta.net/,
市來 伴子,立憲,衆議院議員,（比）北関東,,https://x.com/ichiki_tomoko,https://ichiki-tomoko.org/,
市村 浩一郎,維新,衆議院議員,（比）近畿,,https://x.com/ichimura_staff,https://www.javjav.com/,
井出 庸生,自民,衆議院議員,（比）北陸信越,,見つかりませんでした,https://www.jimin.jp/member/140847.html,
伊藤 俊輔,立憲,衆議院議員,東京23,,https://x.com/shun76450,https://i-shunsuke.com/profile.html,
伊藤 忠彦,自民,衆議院議員,（比）東海,,https://x.com/tadahiko_itoh,https://tadahiko-itoh.com/office,
伊藤 達也,自民,衆議院議員,（比）東京,,https://x.com/tatsuyaito0501,https://www.tatsuyaito.com/profile,
伊東 信久,維新,衆議院議員,大阪19,,https://x.com/nobuhisaito11,https://n-ito.jp/profile/,
伊東 良孝,自民,衆議院議員,（比）北海道,,https://x.com/yoshitaka2017,https://ito-yoshitaka.com/pages/profile,
稲田 朋美,自民,衆議院議員,福井1,,https://x.com/dento_to_souzo,https://www.inada-tomomi.com/profile/,
稲富 修二,立憲,衆議院議員,福岡2,,https://x.com/inatomishuji,https://inatomi.jp/about/,
井野 俊郎,自民,衆議院議員,群馬2,,https://x.com/olhtphmoe6pxi7i,https://www.inooffice.jp/profile/,
井上 信治,自民,衆議院議員,東京25,,見つかりませんでした,https://www.inoue-s.jp/profile.html,
井上 貴博,自民,衆議院議員,福岡1,,見つかりませんでした,https://inouetakahiro.jp/,
井上 英孝,維新,衆議院議員,大阪1,,https://x.com/hidetaka_i,https://www.hidetaka-inoue.com/profile,
猪口 幸子,維新,衆議院議員,（比）東京,,見つかりませんでした,https://inokuchi-sachiko.com/profile/,
井林 辰憲,自民,衆議院議員,静岡2,,https://x.com/T_Ibayashi,https://t-ibayashi.com/profile/,
今井 雅人,立憲,衆議院議員,岐阜4,,https://x.com/imai_masato,https://www.imaimasato.jp/,
今枝 宗一郎,自民,衆議院議員,愛知14,,https://x.com/imaeda_soichiro,https://www.imaeda-sou.com/profile/,
岩田 和親,自民,衆議院議員,（比）九州,,https://x.com/Kazuchika_Iwata,https://www.iwata-kazuchika.com/,
岩谷 良平,維新,衆議院議員,大阪13,,https://x.com/iwatani_ryohei,https://r-iwatani.com/profile/,
岩屋 毅,自民,衆議院議員,大分3,,https://x.com/i/grok/share/JwScZNNoH8NrNPRVseBDj4y2d,https://www.jimin.jp/member/100390.html,
上田 英俊,自民,衆議院議員,富山2,,見つかりませんでした,https://ueda-eishun.com/,
上野 賢一郎,自民,衆議院議員,滋賀2,,https://x.com/Ueno_Kenichiro,https://www.uenokenichiro.jp/profile,
上村 英明,れ新,衆議院議員,（比）東海,,https://x.com/un18urakawa,https://reiwa-shinsengumi.com/member/hideakiuemura/,
浮島 智子,公明,衆議院議員,（比）近畿,,https://x.com/Tomo_Ukishima,https://www.t-ukishima.net/profile/profile.html,
臼木 秀剛,国民,衆議院議員,（比）北海道,,見つかりませんでした,https://new-kokumin.jp/member/usuki-hidetake,
梅谷 守,立憲,衆議院議員,新潟5,,https://x.com/umetani_m,https://www.umetani.net/,
梅村 聡,維新,衆議院議員,大阪5,,https://x.com/umemura_ishin,https://www.umemurasatoshi.com/profile/,
浦野 靖人,維新,衆議院議員,大阪15,,https://x.com/uranoyasuto,https://uranoyasuto.net/profile,
うるま 譲司,維新,衆議院議員,大阪8,,https://x.com/urumageorge,https://uruma.osaka.jp/,
江田 憲司,立憲,衆議院議員,神奈川8,,https://x.com/edaoffice,http://www.eda-k.net/,
枝野 幸男,立憲,衆議院議員,埼玉5,,https://x.com/edanoyukio0531,https://www.edano.gr.jp/,
江渡 聡徳,自民,衆議院議員,（比）東北,,https://x.com/eto_akinori,http://www.eto-akinori.jp/,
江藤 拓,自民,衆議院議員,宮崎2,,https://x.com/etoh_taku,https://eto-taku.jp/profile/,
英利アルフィヤ,自民,衆議院議員,（比）南関東,,https://x.com/eri_arfiya,https://www.jimin.jp/member/203681.html,
遠藤 敬,維新,衆議院議員,大阪18,,見つかりませんでした,https://endo-takashi.jp/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB/,
遠藤 利明,自民,衆議院議員,山形1,,https://x.com/team_toshiaki,https://e-toshiaki.jp/profile-2/,
大石 あきこ,れ新,衆議院議員,（比）近畿,,https://x.com/oishiakiko,https://www.oishiakiko.net/profille/,
大岡 敏孝,自民,衆議院議員,（比）近畿,,https://x.com/OookaToshitaka,https://oooka.com/profile/,
大河原まさこ,立憲,衆議院議員,東京21,,https://x.com/Waku2_ookawara,https://ookawaramasako.com/profile,
大串 博志,立憲,衆議院議員,佐賀2,,https://x.com/OogushiHiroshi,https://oogushi.com/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB,
大串 正樹,自民,衆議院議員,（比）近畿,,https://x.com/Ogushi_Masaki,https://m-ogushi.com/,
逢坂 誠二,立憲,衆議院議員,北海道8,,https://x.com/seiji_ohsaka,https://ohsaka.jp/,
大島 敦,立憲,衆議院議員,埼玉6,,https://x.com/rokuko_again,https://oshimaatsushi.com/profile,
大空 幸星,自民,衆議院議員,（比）東京,,見つかりませんでした,https://www.jimin.jp/member/209123.html,
おおたけりえ,立憲,衆議院議員,（比）東海,,https://x.com/rie20070422,https://www.ootakerie.jp/prof.html,
大塚 小百合,立憲,衆議院議員,神奈川20,,https://x.com/sayuriohorai,https://sayurio.com/profile/,
おおつき紅葉,立憲,衆議院議員,北海道4,,https://x.com/kurehaotsuki,https://kurehaotsuki.jp/,
大西 健介,立憲,衆議院議員,愛知13,,https://x.com/oniken0024,https://www.oniken-web.jp/,
大西 洋平,自民,衆議院議員,東京16,,https://x.com/0024youhei,https://youhei.me/profile/,
大野 敬太郎,自民,衆議院議員,香川3,,https://x.com/keitaro_ohno,https://keitaro-ohno.com/,
大森 江里子,公明,衆議院議員,（比）東京,,https://x.com/eriko_omori,https://www.komei.or.jp/member/detail/13026090,
岡島 一正,立憲,衆議院議員,（比）南関東,,https://x.com/kazu_okajima,https://okajima-k.com/,
岡田 克也,立憲,衆議院議員,三重3,,https://x.com/okada_katsuya,https://www.katsuya.net/,
岡田 悟,立憲,衆議院議員,（比）近畿,,https://x.com/occupy012123,https://cdp-japan.jp/member/5670,
岡田 華子,立憲,衆議院議員,青森3,,https://x.com/Okada_Hanako,https://hanako-okada.com/profile-page/,
緒方 林太郎,有志,衆議院議員,福岡9,,見つかりませんでした,https://www.rinta.jp/profile/,
岡野 純子,国民,衆議院議員,（比）南関東,,https://x.com/junko_okano,https://okanojunko.jp/profile.html,
岡本 あき子,立憲,衆議院議員,宮城1,,https://x.com/a_okamotooffice,https://okamotoakiko.net/,
岡本 三成,公明,衆議院議員,東京29,,https://x.com/okamoto3nari,https://www.m-okamoto.jp/profile/,
岡本 充功,立憲,衆議院議員,愛知9,,https://x.com/mitsunori_ok,http://mitsunori.net/profile/,
小川 淳也,立憲,衆議院議員,香川1,,https://x.com/junyaog,https://www.junbo.org/profile/profile.html,
奥下 剛光,維新,衆議院議員,大阪7,,見つかりませんでした,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/104.html,
奥野 総一郎,立憲,衆議院議員,千葉9,,https://x.com/sokuno2,https://s-okuno.jp/,
小熊 慎司,立憲,衆議院議員,福島3,,https://x.com/oguma_shinji,https://oguma-s.com/profile/,
尾崎 正直,自民,衆議院議員,高知2,,https://x.com/ozaki_masanao,https://www.jimin.jp/member/202157.html,
小沢 一郎,立憲,衆議院議員,岩手3,,https://x.com/ozawa_jimusho,https://www.ozawa-ichiro.jp/,
小竹 凱,国民,衆議院議員,（比）北陸信越,,見つかりませんでした,https://new-kokumin.jp/member/odake-kai,
落合 貴之,立憲,衆議院議員,東京6,,https://x.com/ochiaitakayuki,https://www.ochiaitakayuki.com/profile,
尾辻 かな子,立憲,衆議院議員,（比）近畿,,https://x.com/otsujikanako,https://otsuji.club/profile/index.html,
鬼木 誠,自民,衆議院議員,（比）九州,,https://x.com/onikidon,https://onikimakoto.com/profile/,
小野寺 五典,自民,衆議院議員,宮城5,,https://x.com/itsunori510,https://www.itsunori.com/,
小渕 優子,自民,衆議院議員,群馬5,,見つかりませんでした,https://www.obuchiyuko.com/profile/index.php,
